M,J,X,W,P,Q
37,2,-1.6118,-1.9488,2.4105,3.34E+05
38,1,-2.4863,-2.1924,1.5885,70630
38,2,0.58117,-2.3193,4.5248,6.19E+05
39,1,0.85773,0.44938,8.385,1.66E+05
39,2,-0.69116,0.10063,3.9991,4.49E+05
40,1,-0.1472,-2.1237,2.8954,3.84E+05
40,2,1.0078,-0.50459,6.0744,3.92E+05
41,1,-1.0149,0.13702,2.9427,3.31E+05
41,2,-0.47107,-0.29186,3.8668,4.30E+05
42,1,-2.1321,-0.62909,1.8251,72692
42,2,1.1454,-1.2038,5.0165,6.49E+05
43,1,2.1778,-2.4969,6.5119,7.00E+05
43,2,1.1385,0.44133,7.2223,1.35E+05
44,1,-0.27305,-0.48094,4.8433,4.28E+05
44,2,1.5763,0.32751,8.5135,2.47E+05
45,1,-0.78415,1.8586,4.3496,2.09E+05
45,2,-1.8054,-0.60453,2.3403,3.20E+05
46,1,-0.46771,1.479,4.8443,2.13E+05
46,2,-0.12489,-0.86082,4.0609,5.75E+05
47,1,-0.28414,-1.4694,3.0083,3.60E+05
47,2,-0.08669,0.19218,3.923,4.43E+05
48,1,-0.28826,-1.8359,5.6079,6.76E+05
48,2,0.35006,1.036,7.0829,1.28E+05
49,1,-1.036,0.9407,2.7628,2.49E+05
49,2,1.8779,0.78735,9.805,2.44E+05
50,1,-0.57001,-0.90875,2.4338,2.85E+05
50,2,-1.0257,-0.2099,3.6553,3.40E+05
51,1,0.26965,-1.4831,4.0815,3.49E+05
51,2,0.49429,-1.0203,4.68,5.24E+05
52,1,1.2616,1.1741,7.3636,2.42E+05
52,2,0.47542,0.12695,4.575,3.59E+05
53,1,-0.29259,-0.30864,3.4987,3.57E+05
53,2,-0.54079,-1.0966,3.1768,4.09E+05
54,1,0.61134,1.814,11.418,16154
54,2,0.10932,0.31202,4.445,5.04E+05
55,1,0.60014,-2.186,3.6375,3.32E+05
55,2,0.59393,-1.327,4.9461,5.60E+05
56,1,0.81232,-1.0516,5.2464,6.25E+05
56,2,0.54554,0.39747,9.7152,40603
57,1,-0.42506,-0.062791,2.8852,1.77E+05
57,2,0.58943,-2.022,5.1528,6.89E+05
58,1,-0.62638,-0.99302,2.822,4.49E+05
58,2,0.24952,0.97495,7.7638,2.14E+05
59,1,-1.521,-0.59325,2.8577,3.73E+05
59,2,-0.72363,0.40134,4.1354,2.70E+05
60,1,0.79889,0.57125,4.7641,3.99E+05
60,2,0.12021,0.4128,5.0803,4.30E+05
61,1,0.17695,-0.13182,5.8194,4.34E+05
61,2,-0.3075,0.59536,3.9023,3.23E+05
62,1,0.2296,-0.61687,6.0157,2.51E+05
62,2,0.44,0.27484,5.223,5.08E+05
63,1,-0.73706,0.91048,3.8707,3.09E+05
63,2,-1.7499,0.86708,3.1735,2.18E+05
64,1,0.11294,0.10166,3.6163,4.90E+05
64,2,0.43995,2.7873,4.4979,1.96E+05
65,1,-0.43361,-0.21853,4.9741,2.92E+05
65,2,-0.16847,0.54133,6.0199,2.50E+05
66,1,-1.2833,0.90193,4.3118,1.15E+05
66,2,-2.329,-1.8356,1.7496,1.79E+05
67,1,-0.50732,0.2458,3.4165,2.49E+05
67,2,0.23581,0.070045,3.6075,4.92E+05
68,1,-1.0322,-0.4189,3.7008,2.50E+05
68,2,1.3312,-0.14032,6.4767,5.31E+05
69,1,1.0128,-0.21302,4.6419,4.08E+05
69,2,0.62933,-0.8657,4.474,4.85E+05
70,1,0.98355,1.1437,9.0566,1.46E+05
70,2,-0.2977,-0.53162,3.9785,4.06E+05
71,1,-0.41397,2.0034,4.3353,2.56E+05
71,2,-0.43827,0.95099,5.2755,2.80E+05
72,1,1.4158,1.0289,8.7305,1.83E+05
72,2,-1.6045,1.458,3.6309,3.90E+05
73,1,-2.1935,0.71354,2.3608,1.02E+05
73,2,-0.33341,0.31741,3.4774,5.11E+05
74,1,-0.76009,0.51973,2.6634,2.48E+05
74,2,-0.81879,-0.01416,3.1996,4.05E+05
75,1,0.86415,0.39836,7.253,3.39E+05
75,2,0.11342,0.88397,6.7415,1.83E+05
76,1,0.47586,0.022608,7.1541,4.60E+05
76,2,1.4122,-0.047869,7.3826,2.61E+05
77,1,0.14981,1.0341,4.0679,4.62E+05
77,2,1.4049,0.29157,8.5545,2.45E+05
78,1,0.80844,0.87968,8.7479,1.96E+05
78,2,0.21304,2.0389,7.1626,1.50E+05
79,1,-1.3147,1.2247,3.5611,2.38E+05
79,2,-0.41641,-0.043584,3.455,3.25E+05
80,1,-1.3615,-0.18184,2.1379,2.72E+05
80,2,0.34759,-0.93953,3.121,4.83E+05
81,1,-0.99053,-1.7254,2.1625,2.21E+05
81,2,-1.173,0.28823,3.136,3.18E+05
82,1,0.093109,-1.4827,4.1842,4.84E+05
82,2,-0.37816,-0.043819,4.0982,4.48E+05
83,1,0.16635,-0.22695,6.1038,5.07E+05
83,2,0.37627,-1.1489,2.5152,3.48E+05
84,1,-0.63613,0.13805,4.2423,2.42E+05
84,2,0.31785,-0.71074,5.1367,5.72E+05
85,1,1.0486,2.5088,9.4664,1.28E+05
85,2,0.66071,1.0635,6.3482,4.42E+05
86,1,-0.75779,0.55514,2.9736,2.49E+05
86,2,-0.56397,-0.55678,3.4106,3.85E+05
87,1,-0.95264,0.07802,2.6536,3.04E+05
87,2,0.31732,1.3244,4.8679,4.55E+05
88,1,0.31051,0.50374,8.6605,1.08E+05
88,2,-0.24949,-0.89266,4.1202,5.56E+05
89,1,-0.1625,0.55576,2.7753,2.84E+05
89,2,0.69005,-1.1203,4.3146,5.19E+05
90,1,-0.41125,-1.361,3.9915,4.19E+05
90,2,-0.36801,0.77957,3.7127,3.56E+05
91,1,0.4147,0.34925,4.8479,4.06E+05
91,2,0.34844,-0.72925,3.6955,4.85E+05
92,1,1.0378,-0.17291,5.9446,6.49E+05
92,2,-0.84594,-1.2087,1.4848,68925
93,1,-1.0145,-0.32535,2.4442,3.59E+05
93,2,-0.21327,1.9444,4.6727,2.65E+05
94,1,-1.338,0.85309,3.2371,1.33E+05
94,2,0.030299,0.40425,4.6396,1.99E+05
95,1,0.1205,1.1978,4.0288,3.67E+05
95,2,-0.9899,-0.59266,2.9406,4.59E+05
96,1,0.42068,0.095142,6.1566,5.56E+05
96,2,0.40074,0.49668,7.0977,1.86E+05
97,1,0.17325,-1.1933,3.7285,5.19E+05
97,2,-0.50554,0.64697,3.2078,3.35E+05
98,1,0.17159,1.199,5.7843,4.01E+05
98,2,-0.062139,0.8017,3.5624,3.82E+05
99,1,0.49798,0.72757,5.8884,5.61E+05
99,2,2.7891,-0.77306,9.4378,2.21E+05
100,1,-0.77791,1.4065,5.2261,2.47E+05
100,2,0.31599,0.40112,5.2308,1.74E+05
101,1,0.54114,-0.20314,5.9849,4.63E+05
101,2,-1.5409,-0.49997,2.4595,2.51E+05
102,1,-0.59927,0.85354,3.4163,2.88E+05
102,2,-0.58959,-1.853,3.4237,4.70E+05
103,1,-0.07132,0.16136,4.1451,3.91E+05
103,2,-0.9383,-0.26818,2.3098,3.20E+05
104,1,-0.39833,-0.9119,3.3788,3.31E+05
104,2,-0.54355,0.6527,4.2622,3.66E+05
105,1,0.2778,-0.080978,3.238,3.31E+05
105,2,0.63952,0.54087,5.8203,5.54E+05
106,1,1.3845,0.44892,7.0007,3.31E+05
106,2,-0.062727,-0.36326,2.3604,2.43E+05
107,1,-0.19734,-1.4193,3.4484,4.38E+05
107,2,0.40561,-0.72945,3.9349,5.19E+05
108,1,-0.57125,0.94238,2.7458,2.24E+05
108,2,0.214,0.093725,4.8483,5.49E+05
109,1,-0.65374,-0.27097,3.2111,4.02E+05
109,2,-1.2294,-0.89995,2.2881,2.68E+05
110,1,1.2333,0.059072,7.6058,71219
110,2,0.61031,-1.4669,4.0468,5.13E+05
111,1,0.25698,-1.1464,6.0656,6.66E+05
111,2,-0.97424,0.54764,2.3289,91636
112,1,-1.992,-0.41466,1.8159,1.66E+05
112,2,0.84125,1.9122,7.7311,2.88E+05
113,1,-1.1687,1.3018,3.6636,2.08E+05
113,2,0.39258,-0.59364,5.1308,4.26E+05
114,1,0.12028,-0.8571,4.5112,5.43E+05
114,2,-1.0368,-0.16987,2.8776,1.40E+05
115,1,-0.25117,-2.2015,2.7806,4.00E+05
115,2,-0.20457,-0.77451,4.1362,3.10E+05
116,1,1.7985,-0.3202,9.66,1.61E+05
116,2,-0.11688,0.81752,4.8698,5.53E+05
117,1,0.54036,-0.76025,5.6739,6.29E+05
117,2,-0.091539,-0.6936,3.2232,2.55E+05
118,1,2.0108,0.3083,14.928,5107.3
118,2,0.025554,-0.93825,4.5728,6.43E+05
119,1,0.85404,-1.156,4.7556,5.32E+05
119,2,0.38915,0.03974,4.8058,3.50E+05
120,1,-1.0329,0.76653,3.3186,1.43E+05
120,2,-0.32329,1.7447,7.9931,1.89E+05
121,1,-0.30121,0.83277,4.198,2.52E+05
121,2,-0.69865,-0.69461,4.2386,4.20E+05
122,1,0.50473,-0.51385,4.9156,4.27E+05
122,2,-0.4009,0.79637,5.339,2.93E+05
123,1,0.0032261,3.5267,6.2118,22013
123,2,0.36562,-0.11244,7.0549,6.30E+05
124,1,2.6173,0.2942,8.8661,2.86E+05
124,2,0.55095,-0.77784,3.4665,5.03E+05
125,1,0.64776,1.769,9.1623,34265
125,2,-0.31763,1.5106,4.1998,4.54E+05
126,1,0.6737,-0.40032,5.6912,6.22E+05
126,2,-0.66911,-0.6718,2.8001,1.97E+05
127,1,-0.42343,-0.35189,2.8555,1.45E+05
127,2,0.36159,0.26954,6.5954,3.42E+05
128,1,0.9109,0.181,6.1423,4.83E+05
128,2,-0.23973,0.24425,3.4104,2.94E+05
129,1,-0.48065,2.5383,6.7988,31777
129,2,0.83684,-1.3233,5.0554,5.27E+05
130,1,-1.6625,-1.0847,3.563,3.12E+05
130,2,1.9437,0.22682,16.698,323.02
131,1,0.13832,-0.36499,4.3184,5.19E+05
131,2,-1.9071,-0.84811,2.1388,53393
132,1,-0.71585,1.1665,4.8048,1.90E+05
132,2,-0.28052,1.2128,5.4489,4.08E+05
133,1,0.42889,-0.89987,5.1818,5.53E+05
133,2,-0.29913,0.63475,4.5756,1.83E+05
134,1,0.39293,0.27978,5.3832,1.84E+05
134,2,0.19455,0.05122,5.4525,5.50E+05
135,1,1.9278,-0.24375,7.725,4.17E+05
135,2,-0.17625,-0.8976,3.7356,2.85E+05
136,1,0.52747,1.3418,6.76,75717
136,2,0.8542,-2.4995,5.6503,7.43E+05
137,1,-1.0059,-0.11657,2.8122,2.27E+05
137,2,0.79068,0.55309,5.5337,2.76E+05
138,1,1.6321,-1.3369,7.8984,4.59E+05
138,2,-1.5322,-1.4738,1.7846,2.09E+05
139,1,-1.7423,1.1929,1.8202,72576
139,2,0.2053,-0.80282,4.7562,5.78E+05
140,1,0.82839,-1.9092,4.8592,4.69E+05
140,2,0.21774,-0.53682,5.8519,4.25E+05
141,1,1.3094,-0.34827,9.3351,3.07E+05
141,2,-1.0447,1.4126,3.835,3.13E+05
142,1,0.7449,0.57452,8.3964,2.29E+05
142,2,-0.82815,0.28184,3.4962,2.77E+05
143,1,-0.89838,1.5973,3.4846,2.00E+05
143,2,0.15624,0.11244,5.5704,4.40E+05
144,1,-0.13477,0.46079,4.1718,5.55E+05
144,2,-0.018328,1.3623,6.43,2.42E+05
145,1,0.23599,-1.276,5.0146,5.36E+05
145,2,-0.83517,0.61704,3.1963,2.80E+05
146,1,-0.49769,-0.68783,5.532,4.26E+05
146,2,-0.10667,0.33188,3.5552,3.90E+05
147,1,1.3396,0.20872,8.1058,4.49E+05
147,2,-0.96914,-0.61859,4.1671,1.38E+05
148,1,-0.63005,2.683,6.8022,36692
148,2,-0.046879,-1.1467,3.7029,5.12E+05
149,1,0.65212,0.24519,4.0898,3.65E+05
149,2,-0.27886,1.4725,3.2574,2.48E+05
150,1,-0.29635,-0.90483,3.3558,4.88E+05
150,2,-1.4969,-0.40418,1.9298,1.60E+05
151,1,1.3419,1.8179,8.4347,69161
151,2,-0.98843,-0.37444,3.1233,3.05E+05
152,1,0.16023,0.63291,4.2908,3.84E+05
152,2,0.2874,-1.459,3.3354,3.70E+05
153,1,0.71744,0.16673,6.9347,3.69E+05
153,2,2.2878,-2.1565,9.3278,5.19E+05
154,1,0.77945,0.69637,5.8848,5.00E+05
154,2,0.38471,-0.11272,5.98,2.35E+05
155,1,0.0063317,-0.85493,4.3784,3.23E+05
155,2,0.68648,-1.0752,5.1592,4.90E+05
156,1,0.54051,-0.96769,5.2769,4.09E+05
156,2,-1.4449,0.20205,3.1538,3.32E+05
157,1,0.87514,0.32099,8.757,2.58E+05
157,2,1.3954,1.6234,10.16,77018
158,1,-0.41489,0.036223,7.9198,48709
158,2,0.35846,-0.36463,5.4073,5.99E+05
159,1,0.5643,2.7292,5.5929,2.78E+05
159,2,1.5826,0.30356,8.9563,3.63E+05
160,1,0.27187,1.4371,7.8486,1.80E+05
160,2,1.4896,-0.027561,9.5851,1.04E+05
161,1,0.15676,-0.50003,5.763,5.21E+05
161,2,-0.30054,0.71647,6.317,2.64E+05
162,1,-0.63271,-0.075449,5.3595,2.56E+05
162,2,1.612,-0.47324,7.6298,5.97E+05
163,1,0.43399,-1.0922,4.2535,5.91E+05
163,2,0.52014,-0.22579,6.2942,2.32E+05
164,1,1.7849,-0.0086966,11.006,1.13E+05
164,2,-0.30375,0.50664,4.6678,4.98E+05
165,1,-0.2315,1.6829,3.9033,1.92E+05
165,2,0.61339,0.56839,6.3423,4.68E+05
166,1,-0.21919,-0.3208,3.768,3.84E+05
166,2,-0.87977,-0.78442,2.9798,3.65E+05
167,1,-0.15261,0.45828,5.3311,3.34E+05
167,2,0.033688,1.2816,4.8191,3.27E+05
168,1,-1.7807,-1.7136,1.9234,2.27E+05
168,2,-2.3472,-0.23713,1.6559,86528
169,1,-0.63052,0.78233,4.0491,4.43E+05
169,2,0.60963,2.4366,7.6758,1.10E+05
170,1,-0.050531,-0.25736,4.4444,4.06E+05
170,2,-1.7558,0.74954,3.1785,1.38E+05
171,1,0.77684,-0.56438,6.5725,5.63E+05
171,2,-2.2598,0.90149,2.5146,50785
172,1,0.15377,-0.18016,5.7103,4.06E+05
172,2,-0.75863,-0.20779,3.5608,3.46E+05
173,1,-0.36227,0.21671,3.9885,3.56E+05
173,2,0.061141,-1.3981,5.4173,4.21E+05
174,1,0.56049,-0.15395,5.3638,4.86E+05
174,2,-0.42034,-0.2752,4.2885,3.35E+05
175,1,1.7553,0.82526,8.0375,1.53E+05
175,2,0.93149,-0.81481,5.6686,6.84E+05
176,1,-1.5144,-0.75813,1.7062,91707
176,2,1.0262,2.0783,8.4194,2.59E+05
177,1,0.40432,0.85978,4.28,4.22E+05
177,2,-0.79385,0.066869,2.4698,1.07E+05
178,1,0.18117,0.68775,6.5042,2.90E+05
178,2,0.05425,-1.3934,3.405,4.91E+05
179,1,0.14956,1.5239,8.3189,1.75E+05
179,2,-1.9445,0.54581,2.8558,3.46E+05
180,1,-1.7389,0.21916,2.0656,90563
180,2,0.016971,1.0458,5.603,5.06E+05
181,1,0.77416,-0.23511,6.7345,5.06E+05
181,2,0.26565,1.8773,6.1298,1.63E+05
182,1,0.17359,-0.60352,4.1449,3.59E+05
182,2,0.45359,-0.79702,5.7761,5.65E+05
183,1,-0.23855,-0.32734,3.7071,4.39E+05
183,2,-0.48401,0.47552,3.0047,3.41E+05
184,1,-0.85952,-0.51599,2.5681,3.76E+05
184,2,-1.413,-1.0851,2.2765,2.50E+05
185,1,0.34037,1.1139,5.184,3.91E+05
185,2,-0.96323,-1.5861,1.9051,2.57E+05
186,1,-0.57483,-1.185,4.2961,2.01E+05
186,2,-0.74071,-2.0649,4.2708,6.21E+05
187,1,-0.046003,0.075947,2.6358,2.87E+05
187,2,-0.46575,-0.91877,3.1011,5.11E+05
188,1,2.3742,0.40388,8.646,2.39E+05
188,2,-0.23335,1.1925,5.1916,3.34E+05
189,1,0.1578,0.72306,5.5348,1.17E+05
189,2,-0.52794,-0.84994,4.1152,5.61E+05
190,1,-0.50508,1.0724,4.76,2.32E+05
190,2,0.40807,0.96798,5.1775,3.85E+05
191,1,1.3769,0.14123,6.4994,6.12E+05
191,2,-1.4082,1.2897,2.5938,1.02E+05
192,1,-0.20052,-0.88335,3.1338,4.31E+05
192,2,0.13674,0.082538,4.1542,3.86E+05
193,1,3.5699,1.1469,14.455,26766
193,2,3.4075,0.78726,18.962,426.67
194,1,0.48299,-0.34028,5.0949,3.56E+05
194,2,0.10848,-0.92585,5.1495,4.96E+05
195,1,0.65748,-1.6165,4.2583,6.20E+05
195,2,0.58425,0.018774,3.3791,2.58E+05
196,1,0.82543,0.26225,3.7962,4.38E+05
196,2,-0.22929,-0.89798,4.1812,3.44E+05
197,1,1.7351,1.1929,7.8199,2.21E+05
197,2,-0.3717,0.95365,4.6732,3.03E+05
198,1,0.67679,0.6784,5.8615,5.35E+05
198,2,0.6744,-0.31258,4.025,2.41E+05
199,1,-0.66074,1.5081,3.6392,1.21E+05
199,2,0.32756,-0.88891,4.517,5.77E+05
200,1,-0.97781,-0.37026,2.6351,3.84E+05
200,2,-1.5729,-0.22115,2.4779,1.80E+05
201,1,-2.1746,0.66903,2.0028,80014
201,2,0.14461,-0.84883,4.9879,5.93E+05
202,1,0.41211,0.83516,5.528,5.44E+05
202,2,-0.93715,1.0945,3.7345,1.62E+05
203,1,-1.2158,0.52648,2.4687,2.50E+05
203,2,1.5908,0.26482,5.7969,4.14E+05
204,1,2.4124,0.30975,10.796,2.32E+05
204,2,0.74025,-0.54199,8.3099,2.27E+05
205,1,-1.2203,0.052429,3.1069,2.58E+05
205,2,-0.37624,-1.9539,3.6715,4.88E+05
206,1,1.0437,-0.46882,5.7211,5.63E+05
206,2,0.80218,-0.046592,4.1415,3.37E+05
207,1,0.077669,0.79726,6.8962,55697
207,2,1.7909,-0.4425,10.652,3.48E+05
208,1,-0.47887,0.97499,5.4453,3.61E+05
208,2,-1.4127,0.28972,2.1963,1.81E+05
209,1,1.275,-0.087409,7.1277,5.26E+05
209,2,-0.55119,-0.34782,3.3275,3.46E+05
210,1,-1.0457,0.33195,2.3728,73048
210,2,0.50571,-1.6354,5.173,6.39E+05
211,1,-1.5438,0.86708,2.3867,1.84E+05
211,2,-1.5518,-0.14537,3.3481,3.80E+05
212,1,0.41781,-0.85435,7.7711,4.37E+05
212,2,0.81988,0.35732,4.4821,3.69E+05
213,1,-0.82709,0.4979,3.0402,3.71E+05
213,2,-0.83198,2.3156,7.0297,25800
214,1,0.54466,0.61988,6.1818,5.07E+05
214,2,-0.13791,-0.0055828,4.0196,3.09E+05
215,1,1.561,-0.24235,5.9491,4.38E+05
215,2,-1.1966,1.0048,3.6556,2.23E+05
216,1,-0.77023,0.093187,4.6528,2.32E+05
216,2,-0.0071347,0.93525,4.691,3.73E+05
217,1,-0.8127,0.85861,6.2732,51812
217,2,-0.43842,0.19522,3.819,5.62E+05
218,1,-0.41593,0.089252,4.2423,4.49E+05
218,2,-0.084225,1.4561,5.5911,1.62E+05
219,1,-0.68943,-1.565,2.4528,2.58E+05
219,2,0.45081,-0.078796,4.2937,5.36E+05
220,1,-0.98897,-2.2285,3.4355,5.53E+05
220,2,-1.5159,-0.15152,2.1298,1.85E+05
221,1,1.5833,1.294,10.947,21711
221,2,-0.24941,0.36198,5.4447,5.23E+05
222,1,1.296,-0.065615,8.2124,2.25E+05
222,2,1.7813,-0.25568,8.3441,4.95E+05
223,1,0.71511,0.17755,3.8068,4.27E+05
223,2,1.0486,0.1533,4.473,4.64E+05
224,1,-0.1551,2.2461,3.8023,1.95E+05
224,2,-1.6149,0.73928,1.9198,1.72E+05
225,1,-0.45989,-0.16388,2.6934,3.52E+05
225,2,1.091,-0.06724,6.0893,4.09E+05
226,1,-0.45221,1.2372,3.825,4.01E+05
226,2,0.78337,1.0772,6.1752,2.83E+05
227,1,0.95947,-0.17332,7.3719,4.69E+05
227,2,-0.34093,0.6163,3.2515,2.19E+05
228,1,-0.15113,-0.36419,4.0744,4.25E+05
228,2,0.89278,-0.82619,6.4018,4.02E+05
229,1,-1.518,-3.0722,1.8544,2.07E+05
229,2,-1.0749,0.52141,3.1336,2.93E+05
230,1,-0.44043,-0.24037,3.0187,2.36E+05
230,2,-0.84847,0.60293,3.1086,4.06E+05
231,1,0.66937,-0.88214,5.5881,3.99E+05
231,2,0.68324,-1.5045,5.8084,4.79E+05
232,1,-1.1821,-0.58001,2.094,1.47E+05
232,2,0.58385,-0.56137,7.1654,4.48E+05
233,1,1.511,0.64302,11.52,34131
233,2,-1.1372,-0.01276,3.7059,5.14E+05
234,1,-0.12649,3.1585,11.593,7653.2
234,2,0.26414,1.2266,6.8496,2.85E+05
235,1,-0.52778,-0.15763,3.3656,4.42E+05
235,2,1.2416,-1.3736,4.4374,4.54E+05
236,1,-0.95091,-0.16195,2.6259,3.24E+05
236,2,-0.91073,-0.4889,2.9355,4.23E+05
237,1,-2.0995,0.66428,2.7432,1.01E+05
237,2,-0.39024,-0.70226,4.6515,4.74E+05
238,1,-0.68884,0.04839,4.4219,3.55E+05
238,2,-0.85684,-0.66485,3.7548,4.60E+05
239,1,0.51081,-0.12502,5.8074,3.76E+05
239,2,-0.65627,-0.53047,4.5661,3.51E+05
240,1,-0.91471,-0.98335,3.4661,3.53E+05
240,2,0.1798,0.38483,6.7701,3.05E+05
241,1,-0.50507,-2.0516,2.4347,2.65E+05
241,2,-0.47599,-0.4483,4.3952,4.72E+05
242,1,-0.37841,1.605,3.8637,3.73E+05
242,2,0.14306,1.3491,6.0126,2.28E+05
243,1,0.73906,-1.5312,4.6977,5.16E+05
243,2,0.90004,0.50462,6.127,2.78E+05
244,1,-0.16374,1.6345,3.4011,2.17E+05
244,2,0.60673,-0.62349,4.2042,5.48E+05
245,1,0.57668,0.23596,7.0732,5.00E+05
245,2,-2.0858,-0.77842,1.5937,82576
246,1,-0.68156,-0.2288,5.0942,1.97E+05
246,2,-0.26014,-0.52481,4.3681,5.30E+05
247,1,1.0666,0.63848,7.5284,2.67E+05
247,2,-2.0992,0.37147,2.7953,1.57E+05
248,1,0.41979,-0.67402,4.7574,2.84E+05
248,2,0.60107,-1.0952,4.842,5.90E+05
249,1,-0.48948,-0.62259,4.6489,5.82E+05
249,2,2.9745,1.9203,17.024,549.06
250,1,0.47349,-1.6378,5.8526,6.84E+05
250,2,1.3656,2.0237,9.4164,30606
251,1,0.29617,1.0902,5.6399,3.38E+05
251,2,1.2008,-0.3587,8.5791,2.59E+05
252,1,-0.68677,0.28834,2.6992,1.66E+05
252,2,0.47168,1.3919,5.1071,5.82E+05
253,1,1.2481,-0.23218,6.4921,6.18E+05
253,2,2.8092,0.28703,13.792,22149
254,1,1.6182,-0.57588,9.5849,80190
254,2,-0.84723,-0.075913,4.2697,5.67E+05
255,1,-0.64102,-0.3807,5.0367,4.81E+05
255,2,0.52048,1.9929,7.3346,1.68E+05
256,1,0.76365,0.14157,7.2659,4.77E+05
256,2,1.1274,1.9281,10.91,11828
257,1,-0.39816,2.3733,8.6134,13818
257,2,-0.085463,-0.47392,5.4357,5.45E+05
258,1,-2.4652,0.51174,2.8667,1.67E+05
258,2,-0.85253,0.25777,4.5545,4.47E+05
259,1,-1.5485,0.13403,2.4885,1.91E+05
259,2,1.8632,-1.546,7.8599,5.86E+05
260,1,-0.70751,-1.7543,2.5049,4.39E+05
260,2,-1.348,-0.36381,2.7333,2.82E+05
261,1,-1.5051,-0.11697,2.7907,4.24E+05
261,2,1.8097,1.2262,16.689,446.69
262,1,1.4525,-0.17649,7.9558,4.90E+05
262,2,-2.0768,-0.65208,1.8422,69558
263,1,0.24472,-1.2894,4.019,5.22E+05
263,2,-0.11835,0.057564,3.1725,2.76E+05
264,1,0.1921,0.57624,4.675,4.63E+05
264,2,0.99233,1.3058,8.1135,64373
265,1,1.3037,-0.59687,6.2501,5.63E+05
265,2,-0.12581,-1.5206,3.1831,3.63E+05
266,1,-1.8295,-0.17399,1.8807,1.00E+05
