M,J,X,W,Xi,Omega
59,1,-1.521,-0.59325,0.94213,-0.37307
59,2,-0.72363,0.40134,0.30049,0.81549
60,1,0.79889,0.57125,-0.98696,-0.6572
60,2,0.12021,0.4128,0.75957,-0.60392
61,1,0.17695,-0.13182,1.0468,0.32768
61,2,-0.3075,0.59536,-0.19796,-0.2383
62,1,0.2296,-0.61687,0.6011,1.7298
62,2,0.44,0.27484,0.092308,-0.60856
63,1,-0.73706,0.91048,-0.079893,0.1837
63,2,-1.7499,0.86708,0.89848,0.29079
64,1,0.11294,0.10166,-1.1667,-1.1407
64,2,0.43995,2.7873,-1.8543,-1.0933
65,1,-0.43361,-0.21853,0.38927,1.7783
65,2,-0.16847,0.54133,0.75123,1.2231
66,1,-1.2833,0.90193,0.066757,2.2272
66,2,-2.329,-1.8356,0.035479,-0.069214
67,1,-0.50732,0.2458,-0.60858,0.3165
67,2,0.23581,0.070045,-1.2226,-1.3429
68,1,-1.0322,-0.4189,0.89982,1.0294
68,2,1.3312,-0.14032,-0.30011,-0.34507
69,1,1.0128,-0.21302,-1.0431,-0.43814
69,2,0.62933,-0.8657,-0.27007,-0.40867
70,1,0.98355,1.1437,0.97257,0.17658
70,2,-0.2977,-0.53162,-0.52225,0.97074
71,1,-0.41397,2.0034,-0.432,-0.36008
71,2,-0.43827,0.95099,0.64894,0.70589
72,1,1.4158,1.0289,0.047471,0.15539
72,2,-1.6045,1.458,1.7463,-1.2371
73,1,-2.1935,0.71354,0.41361,0.144
73,2,-0.33341,0.31741,-0.57709,-1.6387
74,1,-0.76009,0.51973,-1.1555,-0.68981
74,2,-0.81879,-0.01416,-0.0095249,-0.6667
75,1,0.86415,0.39836,0.18026,0.68296
75,2,0.11342,0.88397,0.55085,1.1706
76,1,0.47586,0.022608,1.7013,-0.002855
76,2,1.4122,-0.047869,-0.50971,0.91987
77,1,0.14981,1.0341,-0.7777,-1.3826
77,2,1.4049,0.29157,0.5667,0.24447
78,1,0.80844,0.87968,0.92393,0.64166
78,2,0.21304,2.0389,0.26692,0.42549
79,1,-1.3147,1.2247,0.58242,0.064517
79,2,-0.41641,-0.043584,-1.0065,0.60029
80,1,-1.3615,-0.18184,-0.037533,-2.128
80,2,0.34759,-0.93953,-1.8963,-1.1769
81,1,-0.99053,-1.7254,-1.5942,0.78707
81,2,-1.173,0.28823,0.11022,-0.0022268
82,1,0.093109,-1.4827,0.96083,-0.43021
82,2,-0.37816,-0.043819,1.7382,-1.6273
83,1,0.16635,-0.22695,2.0243,-0.50997
83,2,0.37627,-1.1489,-2.3595,-1.3216
84,1,-0.63613,0.13805,0.777,0.64738
84,2,0.31785,-0.71074,0.62239,-0.42563
85,1,1.0486,2.5088,1.1569,-1.2884
85,2,0.66071,1.0635,0.052979,-0.37122
86,1,-0.75779,0.55514,-0.89511,-0.16089
86,2,-0.56397,-0.55678,-0.40933,0.40933
87,1,-0.95264,0.07802,-0.21317,-1.1714
87,2,0.31732,1.3244,-0.13448,-1.3853
88,1,0.31051,0.50374,1.9085,1.047
88,2,-0.24949,-0.89266,0.12223,-0.22692
89,1,-0.1625,0.55576,-1.5327,-1.4158
89,2,0.69005,-1.1203,-1.0979,0.059571
90,1,-0.41125,-1.361,0.43941,1.0212
90,2,-0.36801,0.77957,-0.089622,-0.87398
91,1,0.4147,0.34925,0.32684,-0.89645
91,2,0.34844,-0.72925,-0.51488,-1.2033
92,1,1.0378,-0.17291,-0.29713,-1.087
92,2,-0.84594,-1.2087,-3.232,-1.4264
93,1,-1.0145,-0.32535,-0.57177,-1.5693
93,2,-0.21327,1.9444,-0.25003,-0.47738
94,1,-1.338,0.85309,-0.70062,1.46
94,2,0.030299,0.40425,-1.6305,2.05
95,1,0.1205,1.1978,-0.46981,-1.3852
95,2,-0.9899,-0.59266,0.88638,-1.9568
96,1,0.42068,0.095142,1.0822,-0.56857
96,2,0.40074,0.49668,0.97045,0.80997
97,1,0.17325,-1.1933,-0.35362,-0.79295
97,2,-0.50554,0.64697,0.046435,-1.5505
98,1,0.17159,1.199,1.0533,-0.93633
98,2,-0.062139,0.8017,-0.74888,-1.2691
99,1,0.49798,0.72757,0.83663,-1.4245
99,2,2.7891,-0.77306,-1.1283,0.71744
100,1,-0.77791,1.4065,0.92966,0.66154
100,2,0.31599,0.40112,-1.6058,2.1385
101,1,0.54114,-0.20314,0.38302,0.40549
101,2,-1.5409,-0.49997,0.41204,-0.36378
102,1,-0.59927,0.85354,-0.2073,-0.65277
102,2,-0.58959,-1.853,0.27038,0.47723
103,1,-0.07132,0.16136,-0.40987,0.061445
103,2,-0.9383,-0.26818,-0.71132,-1.8461
104,1,-0.39833,-0.9119,-0.73427,0.97584
104,2,-0.54355,0.6527,0.54063,-0.15687
105,1,0.2778,-0.080978,-1.2626,-0.98956
105,2,0.63952,0.54087,1.1104,-1.8288
106,1,1.3845,0.44892,-1.0206,0.62628
106,2,-0.062727,-0.36326,-3.073,-0.28668
107,1,-0.19734,-1.4193,1.1473,-1.2813
107,2,0.40561,-0.72945,0.59786,-2.2033
108,1,-0.57125,0.94238,-1.1223,-1.1723
108,2,0.214,0.093725,0.30616,-0.96097
109,1,-0.65374,-0.27097,-0.28569,-0.40979
109,2,-1.2294,-0.89995,-0.46242,-0.50354
110,1,1.2333,0.059072,-1.6258,2.6052
110,2,0.61031,-1.4669,-1.9648,0.97237
111,1,0.25698,-1.1464,1.5651,-0.4494
111,2,-0.97424,0.54764,-1.6933,-0.084292
112,1,-1.992,-0.41466,-0.3909,-1.1424
112,2,0.84125,1.9122,0.40918,-0.62486
113,1,-1.1687,1.3018,0.43638,0.10211
113,2,0.39258,-0.59364,-0.50436,1.1963
114,1,0.12028,-0.8571,-0.19167,0.18066
114,2,-1.0368,-0.16987,-0.86582,1.2665
115,1,-0.25117,-2.2015,-1.3933,0.52559
115,2,-0.20457,-0.77451,-0.38623,1.5233
116,1,1.7985,-0.3202,0.49016,0.77828
116,2,-0.11688,0.81752,0.76525,-1.4803
117,1,0.54036,-0.76025,1.2815,-1.2368
117,2,-0.091539,-0.6936,-0.80974,0.21469
118,1,2.0108,0.3083,1.6742,0.5301
118,2,0.025554,-0.93825,0.12499,-0.95207
119,1,0.85404,-1.156,-0.4506,-0.25055
119,2,0.38915,0.03974,0.10925,-0.1899
120,1,-1.0329,0.76653,-1.1605,1.5261
120,2,-0.32329,1.7447,2.3774,0.16851
121,1,-0.30121,0.83277,-0.46188,0.43594
121,2,-0.69865,-0.69461,0.88362,0.89675
122,1,0.50473,-0.51385,-0.67119,0.7907
122,2,-0.4009,0.79637,1.1867,0.28772
123,1,0.0032261,3.5267,-1.5566,0.60985
123,2,0.36562,-0.11244,1.9151,-0.64791
124,1,2.6173,0.2942,-1.0649,-0.42292
124,2,0.55095,-0.77784,-1.7684,-1.0531
125,1,0.64776,1.769,0.16401,1.1522
125,2,-0.31763,1.5106,-0.28276,-1.1465
126,1,0.6737,-0.40032,0.57563,-1.0636
126,2,-0.66911,-0.6718,-0.77809,0.55298
127,1,-0.42343,-0.35189,-2.5644,1.8536
127,2,0.36159,0.26954,0.46586,1.0393
128,1,0.9109,0.181,0.096393,-0.35225
128,2,-0.23973,0.24425,-0.83047,-0.17478
129,1,-0.48065,2.5383,0.12834,1.3025
129,2,0.83684,-1.3233,-1.4424,1.4099
130,1,-1.6625,-1.0847,1.0989,2.2957
130,2,1.9437,0.22682,0.14719,2.7526
131,1,0.13832,-0.36499,-0.76475,0.078189
131,2,-1.9071,-0.84811,-1.1277,2.1066
132,1,-0.71585,1.1665,0.48554,0.87073
132,2,-0.28052,1.2128,1.026,-0.38176
133,1,0.42889,-0.89987,0.067454,0.29173
133,2,-0.29913,0.63475,-0.18712,0.98769
134,1,0.39293,0.27978,-0.77447,1.4089
134,2,0.19455,0.05122,0.78678,-0.5341
135,1,1.9278,-0.24375,-0.79234,0.35391
135,2,-0.17625,-0.8976,-0.95297,1.597
136,1,0.52747,1.3418,-0.16756,0.71725
136,2,0.8542,-2.4995,0.35302,-1.3049
137,1,-1.0059,-0.11657,-0.96064,0.7612
137,2,0.79068,0.55309,-1.6338,1.1933
138,1,1.6321,-1.3369,-0.041663,1.3142
138,2,-1.5322,-1.4738,-0.61551,-1.4551
139,1,-1.7423,1.1929,-1.2656,-1.6364
139,2,0.2053,-0.80282,-0.14933,0.017344
140,1,0.82839,-1.9092,-0.30203,0.91485
140,2,0.21774,-0.53682,1.8136,-0.057081
141,1,1.3094,-0.34827,1.5024,0.49075
141,2,-1.0447,1.4126,0.73038,-0.58613
142,1,0.7449,0.57452,1.1393,0.63614
142,2,-0.82815,0.28184,-0.42587,0.79318
143,1,-0.89838,1.5973,-0.30862,-0.2751
143,2,0.15624,0.11244,0.45666,0.44314
144,1,-0.13477,0.46079,0.45187,-2.0284
144,2,-0.018328,1.3623,1.6484,-0.44926
145,1,0.23599,-1.276,0.6127,0.39532
145,2,-0.83517,0.61704,0.28938,-0.87056
146,1,-0.49769,-0.68783,2.3652,0.64745
146,2,-0.10667,0.33188,-0.48223,-1.0344
147,1,1.3396,0.20872,0.51202,-0.043989
147,2,-0.96914,-0.61859,0.011354,2.9491
148,1,-0.63005,2.683,0.553,1.0306
148,2,-0.046879,-1.1467,-1.0765,0.32753
149,1,0.65212,0.24519,-2.2751,0.41547
149,2,-0.27886,1.4725,-1.6333,-0.65477
150,1,-0.29635,-0.90483,-0.7258,-0.42185
150,2,-1.4969,-0.40418,-0.86649,-0.94267
151,1,1.3419,1.8179,-1.4517,0.9345
151,2,-0.98843,-0.37444,-0.61868,1.0559
152,1,0.16023,0.63291,-0.58171,-0.4491
152,2,0.2874,-1.459,-1.8301,0.94927
153,1,0.71744,0.16673,1.6894,-0.58263
153,2,2.2878,-2.1565,1.2823,0.22261
154,1,0.77945,0.69637,-0.038824,-0.78966
154,2,0.38471,-0.11272,0.088089,1.423
155,1,0.0063317,-0.85493,-0.090967,1.1948
155,2,0.68648,-1.0752,-0.25277,0.60606
156,1,0.54051,-0.96769,-0.34788,1.3412
156,2,-1.4449,0.20205,1.2901,-0.5808
157,1,0.87514,0.32099,1.0624,0.8768
157,2,1.3954,1.6234,0.21411,0.19441
158,1,-0.41489,0.036223,1.771,2.7304
158,2,0.35846,-0.36463,0.22127,-0.29617
159,1,0.5643,2.7292,-0.79026,-1.3199
159,2,1.5826,0.30356,0.80338,-0.27385
160,1,0.27187,1.4371,0.92393,0.66112
160,2,1.4896,-0.027561,-0.32128,1.9153
161,1,0.15676,-0.50003,1.3373,0.054046
161,2,-0.30054,0.71647,2.1257,0.16304
162,1,-0.63271,-0.075449,2.1842,0.71634
162,2,1.612,-0.47324,0.80988,-1.0056
163,1,0.43399,-1.0922,-0.40492,-1.007
163,2,0.52014,-0.22579,0.52786,1.089
164,1,1.7849,-0.0086966,1.2033,0.39705
164,2,-0.30375,0.50664,0.52202,-0.48281
165,1,-0.2315,1.6829,-1.206,-0.092121
165,2,0.61339,0.56839,0.43306,-0.24405
166,1,-0.21919,-0.3208,-0.36496,0.17434
166,2,-0.87977,-0.78442,0.11727,-0.21566
167,1,-0.15261,0.45828,0.62009,0.59802
167,2,0.033688,1.2816,-0.28667,-0.24553
168,1,-1.7807,-1.7136,-0.61963,0.040657
168,2,-2.3472,-0.23713,-0.72016,-0.65898
169,1,-0.63052,0.78233,0.30241,-0.57413
169,2,0.60963,2.4366,0.05832,-0.19521
170,1,-0.050531,-0.25736,-0.57076,0.99144
170,2,-1.7558,0.74954,0.49423,1.0771
171,1,0.77684,-0.56438,0.39468,0.43692
171,2,-2.2598,0.90149,0.0048544,1.1301
172,1,0.15377,-0.18016,0.89675,0.54752
172,2,-0.75863,-0.20779,0.41231,0.14784
173,1,-0.36227,0.21671,0.17887,-0.11018
173,2,0.061141,-1.3981,0.92758,1.5724
174,1,0.56049,-0.15395,0.24112,-0.29191
174,2,-0.42034,-0.2752,0.75469,0.45845
175,1,1.7553,0.82526,-0.5342,-0.10065
175,2,0.93149,-0.81481,0.24255,-1.625
176,1,-1.5144,-0.75813,-2.222,0.00062612
176,2,1.0262,2.0783,0.44876,-0.75624
177,1,0.40432,0.85978,-1.6394,-0.28383
177,2,-0.79385,0.066869,-2.4247,1.1458
178,1,0.18117,0.68775,1.4254,0.037765
178,2,0.05425,-1.3934,-0.89385,-0.36357
179,1,0.14956,1.5239,2.0099,0.011481
179,2,-1.9445,0.54581,1.4167,-0.93905
180,1,-1.7389,0.21916,-0.95098,0.07143
180,2,0.016971,1.0458,0.7948,-0.77369
181,1,0.77416,-0.23511,0.60924,0.27746
181,2,0.26565,1.8773,-0.11027,0.087046
182,1,0.17359,-0.60352,0.36065,-0.30682
182,2,0.45359,-0.79702,1.8851,-1.0127
183,1,-0.23855,-0.32734,-0.13,-0.44377
183,2,-0.48401,0.47552,-0.59435,-1.3225
184,1,-0.85952,-0.51599,-0.70716,-1.2004
184,2,-1.413,-1.0851,-0.30165,-0.019362
185,1,0.34037,1.1139,-0.39179,-0.34463
185,2,-0.96323,-1.5861,-1.4847,-1.3239
186,1,-0.57483,-1.185,0.56506,2.2233
186,2,-0.74071,-2.0649,2.0001,-0.49218
187,1,-0.046003,0.075947,-1.9195,-1.2251
187,2,-0.46575,-0.91877,-0.036443,-1.9024
188,1,2.3742,0.40388,-1.6848,0.50175
188,2,-0.23335,1.1925,0.41315,0.083064
189,1,0.1578,0.72306,-0.79638,1.6865
189,2,-0.52794,-0.84994,0.72534,-0.38639
190,1,-0.50508,1.0724,0.27015,0.62976
190,2,0.40807,0.96798,-0.63441,-0.079234
191,1,1.3769,0.14123,-0.49494,-0.93363
191,2,-1.4082,1.2897,-0.62482,-0.27872
192,1,-0.20052,-0.88335,-0.60387,-0.83817
192,2,0.13674,0.082538,-0.36873,-0.28248
193,1,3.5699,1.1469,-1.2781,-0.61941
193,2,3.4075,0.78726,-0.58459,0.5353
194,1,0.48299,-0.34028,0.0053217,0.42736
194,2,0.10848,-0.92585,1.1391,0.18103
195,1,0.65748,-1.6165,-0.42596,-1.3286
195,2,0.58425,0.018774,-2.034,-0.31989
196,1,0.82543,0.26225,-2.1573,-0.95118
196,2,-0.22929,-0.89798,0.093917,1.1726
197,1,1.7351,1.1929,-1.415,0.26112
197,2,-0.3717,0.95365,-0.033356,0.52299
198,1,0.67679,0.6784,0.37924,-1.1684
198,2,0.6744,-0.31258,-2.2529,1.202
199,1,-0.66074,1.5081,-0.95928,0.44106
199,2,0.32756,-0.88891,-0.49272,-0.20476
200,1,-0.97781,-0.37026,-0.53521,-1.0954
200,2,-1.5729,-0.22115,-0.26197,0.54923
201,1,-2.1746,0.66903,-0.05709,-0.61462
201,2,0.14461,-0.84883,0.29179,-0.013643
202,1,0.41211,0.83516,0.32118,-1.1645
202,2,-0.93715,1.0945,0.015113,0.49484
203,1,-1.2158,0.52648,-0.3936,-1.1957
203,2,1.5908,0.26482,-2.1763,0.36533
204,1,2.4124,0.30975,0.12228,-0.25397
204,2,0.74025,-0.54199,0.96228,1.8918
205,1,-1.2203,0.052429,0.56542,0.080701
205,2,-0.37624,-1.9539,0.077794,0.79471
206,1,1.0437,-0.46882,0.35345,-1.036
206,2,0.80218,-0.046592,-1.2568,-0.42696
207,1,0.077669,0.79726,-0.62909,2.7335
207,2,1.7909,-0.4425,1.5338,0.16744
208,1,-0.47887,0.97499,1.1654,0.24058
208,2,-1.4127,0.28972,-0.90871,-0.65405
209,1,1.275,-0.087409,0.99396,-1.0042
209,2,-0.55119,-0.34782,0.42844,-0.63269
210,1,-1.0457,0.33195,-1.9068,0.69719
210,2,0.50571,-1.6354,-0.040399,0.1688
211,1,-1.5438,0.86708,-0.38624,-0.79646
211,2,-1.5518,-0.14537,1.3162,0.13544
212,1,0.41781,-0.85435,2.7485,0.43398
212,2,0.81988,0.35732,-1.513,-0.22977
213,1,-0.82709,0.4979,-0.79383,-0.55906
213,2,-0.83198,2.3156,0.54096,1.9766
214,1,0.54466,0.61988,1.1072,-1.1214
214,2,-0.13791,-0.0055828,-0.18559,0.24645
215,1,1.561,-0.24235,-1.9201,0.75296
215,2,-1.1966,1.0048,0.62545,0.21348
216,1,-0.77023,0.093187,0.66352,1.6199
216,2,-0.0071347,0.93525,-0.35023,-0.050833
217,1,-0.8127,0.85861,0.88886,2.4868
217,2,-0.43842,0.19522,0.069222,-1.6656
218,1,-0.41593,0.089252,0.21945,0.068602
218,2,-0.084225,1.4561,-0.11488,0.75149
219,1,-0.68943,-1.565,-0.94179,0.28253
219,2,0.45081,-0.078796,-0.65286,-1.1251
220,1,-0.98897,-2.2285,1.1627,-0.23395
220,2,-1.5159,-0.15152,-0.18194,-1.0467
221,1,1.5833,1.294,-0.26305,0.98243
221,2,-0.24941,0.36198,1.0821,-0.11144
222,1,1.296,-0.065615,0.40464,0.80751
222,2,1.7813,-0.25568,0.35176,-0.25559
223,1,0.71511,0.17755,-1.2543,-1.4614
223,2,1.0486,0.1533,-1.1728,-1.2443
224,1,-0.1551,2.2461,-2.0676,-0.10719
224,2,-1.6149,0.73928,-1.1546,-1.7129
225,1,-0.45989,-0.16388,-1.0016,-1.3516
225,2,1.091,-0.06724,-0.55566,0.36421
226,1,-0.45221,1.2372,-0.034841,-1.224
226,2,0.78337,1.0772,-0.50399,0.11851
227,1,0.95947,-0.17332,0.86392,0.19995
227,2,-0.34093,0.6163,-1.4169,0.19583
228,1,-0.15113,-0.36419,0.27601,-0.21751
228,2,0.89278,-0.82619,0.4598,0.79612
229,1,-1.518,-3.0722,-0.99102,1.0093
229,2,-1.0749,0.52141,-0.25313,0.051012
230,1,-0.44043,-0.24037,-1.5163,0.78239
230,2,-0.84847,0.60293,-0.068349,-1.4207
231,1,0.66937,-0.88214,0.43314,0.57894
231,2,0.68324,-1.5045,0.80826,0.76285
232,1,-1.1821,-0.58001,-1.5559,0.17506
232,2,0.58385,-0.56137,1.1002,1.0036
233,1,1.511,0.64302,0.91426,0.82047
233,2,-1.1372,-0.01276,1.1077,-0.81761
234,1,-0.12649,3.1585,2.3206,0.21183
234,2,0.26414,1.2266,0.4145,0.61317
235,1,-0.52778,-0.15763,0.87084,-1.8443
235,2,1.2416,-1.3736,-1.5685,0.28841
236,1,-0.95091,-0.16195,-0.22278,-1.1685
236,2,-0.91073,-0.4889,0.27207,-1.2242
237,1,-2.0995,0.66428,0.50133,0.99075
237,2,-0.39024,-0.70226,0.54031,0.98938
238,1,-0.68884,0.04839,1.4527,0.095136
238,2,-0.85684,-0.66485,1.3798,-0.42713
239,1,0.51081,-0.12502,0.10559,0.74248
239,2,-0.65627,-0.53047,1.1284,1.1436
240,1,-0.91471,-0.98335,0.3257,1.0992
240,2,0.1798,0.38483,1.2963,0.65322
241,1,-0.50507,-2.0516,-1.5512,0.90194
241,2,-0.47599,-0.4483,0.92983,0.13829
242,1,-0.37841,1.605,-0.44844,-1.1205
242,2,0.14306,1.3491,0.16841,0.40073
243,1,0.73906,-1.5312,-0.86421,0.78801
243,2,0.90004,0.50462,-0.37655,0.29821
244,1,-0.16374,1.6345,-1.3501,-0.94428
244,2,0.60673,-0.62349,-1.1622,-0.67121
245,1,0.57668,0.23596,1.0996,0.0075576
245,2,-2.0858,-0.77842,-0.85556,-0.93759
246,1,-0.68156,-0.2288,1.1283,1.8551
246,2,-0.26014,-0.52481,0.55014,-0.2773
247,1,1.0666,0.63848,-0.37418,0.87763
247,2,-2.0992,0.37147,0.69535,1.0336
248,1,0.41979,-0.67402,-0.26762,0.95094
248,2,0.60107,-1.0952,0.18655,-0.79052
249,1,-0.48948,-0.62259,0.96115,-0.10656
249,2,2.9745,1.9203,-0.5578,-0.21516
250,1,0.47349,-1.6378,0.77779,-0.12601
250,2,1.3656,2.0237,-0.5489,0.29958
251,1,0.29617,1.0902,-0.12993,0.12033
251,2,1.2008,-0.3587,0.73374,1.1363
252,1,-0.68677,0.28834,-1.3455,0.053495
252,2,0.47168,1.3919,0.00074741,-2.3419
253,1,1.2481,-0.23218,-0.4646,-0.37983
253,2,2.8092,0.28703,0.38432,-0.10178
254,1,1.6182,-0.57588,-0.13247,2.0313
254,2,-0.84723,-0.075913,1.4393,-0.9782
255,1,-0.64102,-0.3807,1.6359,0.56364
255,2,0.52048,1.9929,0.55902,-0.3384
256,1,0.76365,0.14157,0.67064,0.37096
256,2,1.1274,1.9281,-0.11011,1.0966
257,1,-0.39816,2.3733,0.94634,1.589
257,2,-0.085463,-0.47392,0.81816,0.52601
258,1,-2.4652,0.51174,1.9624,0.49683
258,2,-0.85253,0.25777,1.4063,0.082831
259,1,-1.5485,0.13403,0.43328,-0.57035
259,2,1.8632,-1.546,0.10295,0.49306
260,1,-0.70751,-1.7543,-0.62709,-1.5026
260,2,-1.348,-0.36381,0.44015,-0.20824
261,1,-1.5051,-0.11697,0.49494,-1.1542
261,2,1.8097,1.2262,0.90859,1.2576
262,1,1.4525,-0.17649,0.15653,0.27905
262,2,-2.0768,-0.65208,-0.85023,0.59709
263,1,0.24472,-1.2894,-0.52093,-0.056227
263,2,-0.11835,0.057564,-1.279,-0.20968
264,1,0.1921,0.57624,-0.72931,-0.094921
264,2,0.99233,1.3058,-0.86457,1.3832
265,1,1.3037,-0.59687,0.67184,-1.1778
265,2,-0.12581,-1.5206,0.022844,-0.33458
266,1,-1.8295,-0.17399,-1.3594,0.14364
266,2,0.42999,1.6312,0.97051,0.082604
267,1,0.71666,-1.0711,-1.21,-0.67256
267,2,1.1935,1.3189,-1.0741,0.73646
268,1,-1.07,0.41188,0.55457,1.0076
268,2,0.33472,0.15412,-1.1728,0.11352
269,1,0.73005,0.052032,1.0141,-1.8535
269,2,-0.98351,0.8776,-0.084348,-1.0968
270,1,0.21863,0.46312,2.2444,0.86551
270,2,0.79425,-0.61263,0.072348,-0.4157
271,1,-1.1149,1.0377,-0.52899,1.6173
271,2,0.68525,1.8222,-1.628,0.26414
272,1,-1.1271,-0.80885,0.59211,0.24048
272,2,-0.55918,1.161,0.24275,-0.8215
273,1,0.99311,-0.26113,-0.10173,0.74138
